Year,Job_Name,Required_Skills,Avg_Salary_LPA,Job_Postings,User_Learned_Skills,Skill_Count,Experience_Level
2015,Textile Technologist,"weaving, fiber science, knitting, spinning, yarn manufacturing",19.11,671,"yarn manufacturing, fiber science, spinning",3,Fresher
2017,Knitting Engineer,"yarn selection, stitch density, gauge control, circular knitting",13.78,728,"gauge control, circular knitting, yarn selection, stitch density",4,Fresher
2021,Fashion Production Manager,"industrial engineering, cutting room, line balancing, production planning",17.89,580,"cutting room, line balancing, production planning, industrial engineering, sap pp",5,Mid
2022,Knitting Engineer,"gauge control, circular knitting, machine programming, stitch density, yarn selection",8.21,581,"machine programming, circular knitting, yarn selection, stitch density, gauge control",5,Mid
2015,Fabric Development Specialist,"lab dip, color matching, hand feel evaluation, fabric testing",17.0,1052,"fabric testing, lab dip, hand feel evaluation, color matching",4,Fresher
2023,Supply Chain Textile,"incoterms, vendor management, inventory management, import export",15.5,716,"import export, incoterms, inventory management, vendor management",4,Fresher
2024,Quality Control Textile,"shrinkage testing, defect grading, iso textile standards, aql inspection",21.75,1111,"shrinkage testing, aql inspection, defect grading, iso textile standards",4,Fresher
2024,Textile Technologist,"spinning, weaving, yarn manufacturing",6.55,974,"spinning, weaving, yarn manufacturing, fiber science",4,Mid
2018,Knitting Engineer,"yarn selection, gauge control, machine programming, circular knitting",21.16,334,"yarn selection, gauge control, machine programming",3,Senior
2023,Merchandiser,"buyer coordination, sampling timeline, costing, excel",7.77,440,"excel, buyer coordination, costing",3,Senior
2016,Quality Control Textile,"aql inspection, spectrophotometer, iso textile standards",9.11,601,"spectrophotometer, iso textile standards, aql inspection",3,Senior
2016,Fashion Production Manager,"industrial engineering, production planning, sap pp",20.04,1010,"production planning, sap pp, industrial engineering, line balancing",4,Senior
2021,Quality Control Textile,"defect grading, spectrophotometer, aql inspection, iso textile standards",20.29,611,"aql inspection, spectrophotometer, iso textile standards, defect grading",4,Senior
2021,Supply Chain Textile,"inventory management, incoterms, import export, logistics",21.34,697,"import export, inventory management, logistics, incoterms",4,Fresher
2015,Textile Technologist,"fiber science, yarn manufacturing, knitting, spinning",5.99,857,"yarn manufacturing, knitting, spinning",3,Mid
2016,Fashion Production Manager,"line balancing, sap pp, production planning, cutting room",20.23,499,"cutting room, production planning, sap pp",3,Mid
2019,Fabric Development Specialist,"color matching, gsm analysis, hand feel evaluation, fabric testing",8.77,754,"gsm analysis, fabric testing, color matching, lab dip",4,Fresher
2017,Fabric Development Specialist,"color matching, gsm analysis, fabric testing",10.34,564,"gsm analysis, fabric testing, color matching",3,Mid
2021,Quality Control Textile,"iso textile standards, defect grading, aql inspection",7.36,729,"iso textile standards, aql inspection, defect grading",3,Senior
2019,Dyeing Technologist,"exhaust dyeing, recipe formulation, dyeing chemistry, wet processing, fastness testing",12.68,1037,"fastness testing, dyeing chemistry, exhaust dyeing",3,Fresher
2020,Dyeing Technologist,"recipe formulation, fastness testing, dyeing chemistry, exhaust dyeing, wet processing",14.1,877,"dyeing chemistry, recipe formulation",2,Fresher
2015,Merchandiser,"order tracking, buyer coordination, sampling timeline, costing",8.98,1140,"sampling timeline, buyer coordination, order tracking, costing",4,Fresher
2015,Textile Technologist,"knitting, weaving, yarn manufacturing, fiber science",11.71,515,"knitting, fiber science, yarn manufacturing, weaving, spinning",5,Senior
2023,Merchandiser,"sampling timeline, buyer coordination, costing, order tracking, excel",11.1,1000,"order tracking, costing, sampling timeline, excel, buyer coordination",5,Mid
