Year,Job_Name,Required_Skills,Avg_Salary_LPA,Job_Postings,User_Learned_Skills,Skill_Count,Experience_Level
2017,Structural Engineer,"reinforced concrete, steel design, staad pro",7.72,509,"reinforced concrete, staad pro, steel design, seismic design",4,Mid
2025,Project Manager Civil,"primavera, pmp, contract administration",8.2,976,"primavera, contract administration, pmp, tendering",4,Fresher
2024,Project Manager Civil,"risk management, pmp, tendering, contract administration",6.66,805,"risk management, pmp, tendering, contract administration",4,Fresher
2019,Highway Engineer,"irc codes, pavement design, traffic engineering, autocad civil 3d",19.54,965,"irc codes, traffic engineering, autocad civil 3d, geometric design",4,Fresher
2015,Highway Engineer,"irc codes, traffic engineering, geometric design",19.19,540,"irc codes, geometric design, pavement design",3,Mid
2018,Project Manager Civil,"contract administration, primavera, risk management, tendering, pmp",5.33,790,"risk management, contract administration",2,Mid
2023,Quantity Surveyor,"primavera, estimation, boq, contracts, cost control",20.65,507,"boq, cost control, contracts, primavera",4,Senior
2024,Quantity Surveyor,"contracts, primavera, cost control, boq, estimation",13.1,1069,"estimation, contracts",2,Senior
2015,Project Manager Civil,"risk management, contract administration, pmp, tendering, primavera",12.99,634,"primavera, contract administration, pmp, risk management, tendering",5,Mid
2016,Project Manager Civil,"pmp, tendering, primavera, contract administration",20.08,623,"contract administration, tendering",2,Senior
2015,Site Engineer,"site supervision, quality checks, method statement, surveying, safety management",19.68,955,"quality checks, method statement, site supervision",3,Mid
2015,BIM Civil Engineer,"revit, clash detection, civil 3d, navisworks",20.43,825,"navisworks, revit, clash detection, civil 3d",4,Fresher
2020,Structural Engineer,"seismic design, reinforced concrete, staad pro, etabs",11.28,552,"reinforced concrete, etabs",2,Senior
2015,Geotechnical Engineer,"bore log interpretation, foundation design, plaxis, soil mechanics",18.68,534,"soil mechanics, bore log interpretation, foundation design",3,Senior
2019,Highway Engineer,"pavement design, traffic engineering, autocad civil 3d",17.34,539,"autocad civil 3d, pavement design, irc codes",3,Fresher
2021,Urban Planner,"transportation planning, land use planning, zoning regulations, sustainability, gis",4.92,205,"transportation planning, sustainability, gis, land use planning",4,Mid
2020,Site Engineer,"quality checks, site supervision, surveying",5.68,578,"quality checks, surveying, method statement",3,Fresher
2024,Project Manager Civil,"pmp, contract administration, risk management, primavera, tendering",9.39,324,"tendering, contract administration",2,Fresher
2018,Urban Planner,"sustainability, zoning regulations, gis, transportation planning, land use planning",8.74,844,"land use planning, zoning regulations, transportation planning, sustainability, gis",5,Senior
2024,Highway Engineer,"pavement design, autocad civil 3d, irc codes",17.76,707,"autocad civil 3d, pavement design",2,Senior
2023,Geotechnical Engineer,"slope stability, foundation design, plaxis, soil mechanics, bore log interpretation",13.79,787,"soil mechanics, plaxis, bore log interpretation",3,Mid
2018,Structural Engineer,"steel design, staad pro, etabs",16.89,771,"steel design, etabs, staad pro, reinforced concrete",4,Senior
2022,Structural Engineer,"steel design, staad pro, reinforced concrete",15.24,574,"staad pro, reinforced concrete",2,Mid
2019,Highway Engineer,"geometric design, traffic engineering, autocad civil 3d",16.36,595,"traffic engineering, autocad civil 3d, geometric design, pavement design",4,Senior
2020,Structural Engineer,"reinforced concrete, steel design, staad pro",15.24,925,"staad pro, steel design, reinforced concrete",3,Fresher
2024,Project Manager Civil,"primavera, pmp, tendering, contract administration, risk management",4.07,636,"primavera, tendering, contract administration, pmp, risk management",5,Senior
2018,Urban Planner,"sustainability, land use planning, zoning regulations, transportation planning",17.51,493,"sustainability, transportation planning, land use planning, zoning regulations",4,Mid
2016,BIM Civil Engineer,"ifc, revit, navisworks, civil 3d",7.69,702,"navisworks, ifc, civil 3d, revit",4,Fresher
2024,Highway Engineer,"geometric design, irc codes, autocad civil 3d, pavement design, traffic engineering",17.25,419,"pavement design, geometric design, irc codes",3,Fresher
2021,Project Manager Civil,"tendering, contract administration, pmp, risk management, primavera",8.32,826,"pmp, risk management, contract administration, tendering",4,Fresher
2016,Site Engineer,"surveying, quality checks, safety management, site supervision",13.59,563,"safety management, quality checks, method statement",3,Mid
2022,BIM Civil Engineer,"clash detection, revit, civil 3d, navisworks, ifc",8.19,587,"clash detection, navisworks",2,Senior
2023,BIM Civil Engineer,"revit, ifc, navisworks, civil 3d, clash detection",3.64,649,"clash detection, navisworks, revit, ifc",4,Senior
2015,Urban Planner,"gis, land use planning, transportation planning",16.33,1163,"transportation planning, gis, land use planning",3,Mid
2025,Highway Engineer,"geometric design, traffic engineering, pavement design",13.8,562,"geometric design, pavement design, traffic engineering, irc codes",4,Mid
2024,Quantity Surveyor,"contracts, estimation, cost control, primavera",4.63,320,"primavera, contracts, cost control",3,Fresher
2022,Quantity Surveyor,"estimation, cost control, contracts, primavera",15.17,640,"cost control, contracts",2,Fresher
2015,Structural Engineer,"etabs, steel design, reinforced concrete, staad pro, seismic design",16.87,665,"reinforced concrete, staad pro, etabs, seismic design, steel design",5,Fresher
2017,Highway Engineer,"pavement design, irc codes, geometric design, traffic engineering, autocad civil 3d",3.7,543,"irc codes, traffic engineering, autocad civil 3d, pavement design",4,Senior
2020,Highway Engineer,"pavement design, irc codes, autocad civil 3d",16.01,857,"pavement design, irc codes, autocad civil 3d, traffic engineering",4,Fresher
