Year,Job_Name,Required_Skills,Avg_Salary_LPA,Job_Postings,User_Learned_Skills,Skill_Count,Experience_Level
2021,Renewable Energy Engineer,"mppt, grid integration, solar pv design, inverters, wind energy",9.78,678,"solar pv design, inverters, grid integration, mppt",4,Mid
2015,Power Systems Engineer,"relay coordination, etap, short circuit analysis, load flow",19.94,1004,"etap, relay coordination, power systems",3,Mid
2019,Electrical Design Engineer,"cable sizing, load calculation, autocad electrical",9.28,583,"load calculation, cable sizing",2,Senior
2024,Electrical Project Engineer,"ms project, commissioning, fat sat, method statement, electrical estimating",11.13,711,"ms project, method statement, commissioning",3,Fresher
2021,Protection Engineer,"distance protection, relay settings, ct pt sizing, differential protection, setting study",5.94,674,"ct pt sizing, differential protection, relay settings, setting study, distance protection",5,Mid
2022,Substation Engineer,"switchgear, transformers, substation design, grounding",4.15,547,"substation design, transformers, grounding",3,Senior
2024,Electrical Maintenance Engineer,"vfd, motors, therography, preventive maintenance, troubleshooting",4.93,652,"preventive maintenance, motors, vfd, therography, troubleshooting",5,Senior
2018,Substation Engineer,"clearance calculation, switchgear, grounding, substation design",12.7,331,"switchgear, substation design",2,Senior
2019,Substation Engineer,"transformers, switchgear, grounding, substation design",14.43,981,"switchgear, transformers, substation design",3,Mid
2015,Protection Engineer,"differential protection, ct pt sizing, relay settings",18.52,1062,"differential protection, relay settings, ct pt sizing",3,Senior
2021,Electrical Maintenance Engineer,"therography, preventive maintenance, troubleshooting",11.71,511,"preventive maintenance, troubleshooting, therography, motors",4,Fresher
2024,Electrical Maintenance Engineer,"motors, troubleshooting, vfd, preventive maintenance, therography",11.78,1026,"motors, therography",2,Mid
2021,Substation Engineer,"clearance calculation, switchgear, substation design",12.09,840,"substation design, clearance calculation",2,Mid
2015,Electrical Project Engineer,"commissioning, method statement, electrical estimating, fat sat, ms project",7.43,962,"electrical estimating, fat sat, ms project, method statement",4,Mid
2018,Power Systems Engineer,"etap, load flow, power systems, relay coordination, short circuit analysis",7.75,885,"load flow, power systems, short circuit analysis, etap",4,Mid
2024,Electrical Design Engineer,"single line diagram, nec codes, autocad electrical",3.55,618,"nec codes, autocad electrical, load calculation",3,Mid
2015,Electrical Project Engineer,"method statement, commissioning, ms project, fat sat, electrical estimating",9.35,821,"ms project, commissioning, method statement, electrical estimating, fat sat",5,Fresher
2022,Electrical Project Engineer,"ms project, fat sat, commissioning",7.59,694,"commissioning, fat sat",2,Senior
2024,Control Systems Engineer,"ladder logic, plc programming, dcs, pid tuning",13.26,413,"ladder logic, pid tuning, dcs, plc programming",4,Fresher
