Year,Job_Name,Required_Skills,Avg_Salary_LPA,Job_Postings,User_Learned_Skills,Skill_Count,Experience_Level
2020,Cardiologist,"heart failure management, lipid management, cath lab basics, echocardiography",10.67,1221,"heart failure management, cath lab basics",2,Mid
2018,Psychiatrist,"psychotherapy, mental health assessment, psychopharmacology, crisis intervention, dsm assessment",4.41,821,"psychotherapy, psychopharmacology, dsm assessment, crisis intervention",4,Mid
2019,Emergency Medicine Doctor,"triage, acute management, emergency procedures, acls",16.14,1015,"acute management, emergency procedures, acls",3,Mid
2022,Surgeon,"operative skills, postoperative care, anatomy, sterile technique",17.81,753,"operative skills, postoperative care",2,Mid
2020,Psychiatrist,"dsm assessment, mental health assessment, crisis intervention, psychopharmacology",18.83,871,"mental health assessment, crisis intervention, dsm assessment, psychopharmacology",4,Fresher
2016,Emergency Medicine Doctor,"trauma care, acute management, acls, triage, emergency procedures",18.72,339,"acute management, triage, emergency procedures, trauma care, acls",5,Senior
2021,Cardiologist,"lipid management, cath lab basics, heart failure management",18.05,562,"heart failure management, lipid management, cath lab basics",3,Senior
2020,Pathologist,"histopathology, immunohistochemistry, microscopy",4.75,749,"immunohistochemistry, microscopy, histopathology, laboratory medicine",4,Fresher
2025,Psychiatrist,"mental health assessment, psychopharmacology, crisis intervention, dsm assessment, psychotherapy",8.54,596,"dsm assessment, mental health assessment",2,Senior
2025,Psychiatrist,"psychotherapy, dsm assessment, psychopharmacology",12.6,483,"psychotherapy, dsm assessment, psychopharmacology, mental health assessment",4,Fresher
2022,Psychiatrist,"mental health assessment, crisis intervention, psychopharmacology, dsm assessment",15.43,759,"crisis intervention, psychopharmacology",2,Fresher
2023,Pediatrician,"child health, neonatal care, adolescent medicine, vaccination",15.24,779,"neonatal care, adolescent medicine, growth monitoring",3,Mid
2024,Psychiatrist,"crisis intervention, psychopharmacology, mental health assessment, dsm assessment, psychotherapy",4.92,544,"dsm assessment, mental health assessment, psychopharmacology, psychotherapy, crisis intervention",5,Mid
2015,Radiologist,"ct interpretation, reporting, radiation safety, mri interpretation",6.87,506,"mri interpretation, reporting, radiation safety, ct interpretation",4,Senior
