Year,Job_Name,Required_Skills,Avg_Salary_LPA,Job_Postings,User_Learned_Skills,Skill_Count,Experience_Level
2019,Frontend Developer,"css, react, redux",3.72,867,"redux, javascript, webpack",3,Fresher
2025,Backend Developer,"sql, redis, rest api, nodejs",9.46,744,"nodejs, redis, docker",4,Mid
2016,Frontend Developer,"redux, typescript, html, javascript",4.08,421,"javascript, webpack, redux",4,Fresher
2019,Backend Developer,"sql, postgresql, python",9.2,1099,"sql, python, rest api, redis",3,Mid
2017,Frontend Developer,"html, css, webpack",7.77,566,"react, webpack, html, css",3,Mid
2022,AI Engineer,"huggingface, deep learning, tensorflow, transformers",9.01,196,"transformers, computer vision, pytorch",4,Fresher
2017,Backend Developer,"postgresql, rest api, python",15.18,949,"postgresql, redis, rest api, python",3,Senior
2020,ML Engineer,"pytorch, tensorflow, machine learning",25.37,352,"pytorch, tensorflow, machine learning",3,Senior
2017,Data Scientist,"sql, numpy, python",6.59,797,"numpy, machine learning, pandas",3,Fresher
2023,Frontend Developer,"html, redux, css",12.9,732,"nextjs, redux, html, css",3,Senior
2022,DevOps Engineer,"aws, kubernetes, docker",20.21,310,"kubernetes, aws, docker",3,Senior
2015,Data Scientist,"machine learning, scikit-learn, statistics, pandas",7.31,494,"matplotlib, statistics, scikit-learn",4,Fresher
2021,Frontend Developer,"webpack, css, nextjs, javascript",3.69,809,"typescript, react, javascript",4,Fresher
2019,Full Stack Developer,"sql, rest api, javascript, mongodb",10.99,718,"nodejs, sql, mongodb",4,Mid
2017,Data Analyst,"sql, python, power bi, statistics",12.25,458,"sql, python, power bi, pandas",4,Senior
2023,Backend Developer,"python, rest api, redis",9.44,983,"redis, python, nodejs",3,Mid
2015,Data Scientist,"matplotlib, sql, scikit-learn",12.96,374,"pandas, matplotlib, sql, scikit-learn",3,Mid
2024,Backend Developer,"java, rest api, redis",9.33,1120,"rest api, sql, java, redis",3,Mid
2025,ML Engineer,"pytorch, scikit-learn, python",15.22,304,"pytorch, python, deep learning, docker",3,Mid
2019,ML Engineer,"machine learning, scikit-learn, tensorflow",15.05,418,"scikit-learn, machine learning, pytorch, tensorflow",3,Mid
2017,Backend Developer,"docker, rest api, postgresql",5.4,615,"python, docker, nodejs",3,Fresher
2020,Data Scientist,"pandas, machine learning, matplotlib, sql",13.29,410,"matplotlib, statistics, machine learning, sql",4,Mid
2022,Data Analyst,"python, statistics, data visualization",12.36,685,"python, excel, statistics, data visualization",3,Senior
2021,AI Engineer,"python, huggingface, tensorflow, deep learning",16.89,445,"computer vision, python, tensorflow, huggingface",4,Mid
2021,Data Scientist,"numpy, pandas, statistics",7.01,718,"python, scikit-learn, statistics",3,Fresher
2019,AI Engineer,"pytorch, huggingface, computer vision",16.71,552,"computer vision, transformers, huggingface, pytorch",3,Mid
2022,AI Engineer,"huggingface, transformers, computer vision",16.72,251,"computer vision, transformers, python",3,Mid
2018,Full Stack Developer,"react, sql, rest api, python",6.39,1381,"mongodb, javascript, python",4,Fresher
2018,Frontend Developer,"nextjs, javascript, typescript",13.45,803,"nextjs, javascript, typescript",3,Senior
2023,Data Analyst,"power bi, tableau, python, statistics",12.21,640,"tableau, python, power bi, statistics",4,Senior
2023,ML Engineer,"deep learning, machine learning, mlops",14.92,305,"machine learning, deep learning, scikit-learn, mlops",3,Mid
2024,Data Analyst,"statistics, python, sql",6.53,744,"power bi, statistics, sql, python",3,Mid
2022,Data Analyst,"sql, python, pandas",6.55,788,"power bi, python, pandas",3,Mid
2020,AI Engineer,"transformers, tensorflow, pytorch, huggingface",9.28,483,"deep learning, transformers, python",4,Fresher
2018,Backend Developer,"python, rest api, java",15.27,571,"python, java, rest api",3,Senior
2017,Frontend Developer,"react, typescript, javascript, html",12.85,788,"html, javascript, typescript, react",4,Senior
2025,AI Engineer,"python, transformers, pytorch, computer vision",8.68,417,"nlp, pytorch, huggingface",4,Fresher
2023,ML Engineer,"docker, tensorflow, scikit-learn, pytorch",14.84,453,"mlops, docker, python, tensorflow",4,Mid
2018,AI Engineer,"nlp, tensorflow, transformers, huggingface",8.99,538,"tensorflow, deep learning, nlp",4,Fresher
2025,Data Scientist,"statistics, matplotlib, python, sql",12.93,863,"python, numpy, statistics, sql",4,Mid
2022,AI Engineer,"nlp, tensorflow, deep learning, python",16.78,451,"pytorch, nlp, computer vision, deep learning",4,Mid
2018,ML Engineer,"tensorflow, deep learning, machine learning, mlops",25.2,264,"mlops, tensorflow, machine learning",4,Senior
2015,DevOps Engineer,"ansible, aws, terraform, linux",5.99,304,"docker, git, terraform",4,Fresher
2024,Full Stack Developer,"react, mongodb, javascript, python",5.81,1135,"python, rest api, mongodb",4,Fresher
2016,Backend Developer,"sql, nodejs, docker",8.5,861,"sql, redis, docker",3,Mid
2018,DevOps Engineer,"ci/cd, git, aws, docker",6.15,522,"ansible, kubernetes, git",4,Fresher
2017,Full Stack Developer,"python, sql, javascript, rest api",6.39,1252,"mongodb, rest api, javascript, nodejs",4,Fresher
2015,AI Engineer,"pytorch, computer vision, nlp",17.5,373,"pytorch, deep learning, transformers, nlp",3,Mid
2022,DevOps Engineer,"terraform, linux, ansible, docker",19.95,572,"ansible, docker, linux, ci/cd",4,Senior
2021,ML Engineer,"docker, tensorflow, python",15.43,424,"tensorflow, python, machine learning, scikit-learn",3,Mid
2025,DevOps Engineer,"linux, ansible, ci/cd",6.15,407,"docker, linux, kubernetes",3,Fresher
2019,DevOps Engineer,"terraform, ansible, aws, git",19.84,769,"ansible, git, terraform, kubernetes",4,Senior
2019,ML Engineer,"docker, mlops, machine learning, tensorflow",25.07,319,"tensorflow, mlops, machine learning, docker",4,Senior
2022,Data Analyst,"statistics, tableau, data visualization, excel",3.6,867,"tableau, data visualization, python",4,Fresher
2021,Backend Developer,"java, sql, nodejs",9.37,436,"sql, nodejs, postgresql, redis",3,Mid
2025,Frontend Developer,"css, redux, javascript, nextjs",3.55,407,"webpack, nextjs, html",4,Fresher
2021,ML Engineer,"tensorflow, pytorch, docker",15.0,498,"mlops, docker, tensorflow",3,Mid
2025,Full Stack Developer,"mongodb, nodejs, docker, javascript",6.19,967,"mongodb, sql, rest api, nodejs",4,Fresher
2021,ML Engineer,"machine learning, docker, tensorflow, pytorch",8.41,581,"tensorflow, machine learning, deep learning, mlops",4,Fresher
2019,DevOps Engineer,"git, kubernetes, ansible",20.08,384,"ansible, kubernetes, docker, git",3,Senior
2020,Frontend Developer,"html, react, webpack, typescript",12.64,581,"typescript, redux, html, react",4,Senior
2023,Data Analyst,"excel, statistics, python, sql",11.97,1034,"statistics, excel, python, sql",4,Senior
2018,AI Engineer,"huggingface, computer vision, tensorflow",27.62,270,"tensorflow, computer vision, huggingface",3,Senior
2020,Full Stack Developer,"nodejs, sql, docker, javascript",10.6,1202,"mongodb, nodejs, sql, docker",4,Mid
2025,AI Engineer,"python, pytorch, tensorflow, deep learning",16.74,214,"transformers, tensorflow, computer vision, python",4,Mid
