Year,Job_Name,Required_Skills,Avg_Salary_LPA,Job_Postings,User_Learned_Skills,Skill_Count,Experience_Level
2018,Risk Analyst,"var, basel norms, risk reporting, stress testing, credit risk",20.91,457,"var, risk reporting, stress testing, credit risk",4,Senior
2022,Financial Controller,"erp finance, internal controls, management accounting, budgeting",20.35,1252,"internal controls, management accounting, budgeting, erp finance",4,Senior
2024,Investment Banker,"pitch books, excel advanced, valuation",21.13,400,"excel advanced, valuation, pitch books",3,Senior
2017,Financial Analyst,"excel, financial modeling, dashboards",14.42,403,"excel, dashboards, forecasting",3,Fresher
2019,Financial Controller,"consolidation, management accounting, internal controls, budgeting, erp finance",9.17,564,"erp finance, budgeting",2,Mid
2016,Financial Analyst,"forecasting, financial modeling, excel",18.84,827,"forecasting, financial modeling, excel",3,Fresher
2022,Risk Analyst,"var, basel norms, credit risk",11.27,565,"var, basel norms, credit risk, stress testing",4,Senior
2020,Investment Banker,"m and a, excel advanced, pitch books, due diligence, valuation",4.56,784,"m and a, valuation",2,Fresher
2016,Investment Banker,"due diligence, pitch books, m and a, excel advanced, valuation",3.64,866,"m and a, pitch books, valuation, excel advanced, due diligence",5,Mid
2022,Tax Consultant,"litigation support, income tax, gst, transfer pricing, tax planning",9.18,868,"tax planning, income tax, transfer pricing, gst",4,Senior
2022,Risk Analyst,"stress testing, var, basel norms",20.87,513,"basel norms, stress testing, var",3,Fresher
2017,Credit Analyst,"industry research, credit memo, covenants, financial ratios",6.19,949,"financial ratios, industry research, covenants, credit memo, cash flow analysis",5,Senior
2022,Credit Analyst,"industry research, covenants, cash flow analysis, credit memo",10.05,860,"covenants, cash flow analysis",2,Fresher
2020,Credit Analyst,"industry research, financial ratios, credit memo, cash flow analysis, covenants",8.22,722,"financial ratios, cash flow analysis, covenants",3,Mid
2023,Portfolio Manager,"asset allocation, bloomberg, performance attribution",4.75,894,"performance attribution, asset allocation, bloomberg",3,Mid
2016,Financial Analyst,"forecasting, variance analysis, financial modeling, excel, dashboards",9.31,523,"variance analysis, dashboards, financial modeling",3,Fresher
2017,Tax Consultant,"litigation support, tax planning, income tax, gst",7.11,527,"litigation support, tax planning, income tax, gst",4,Fresher
2017,Tax Consultant,"transfer pricing, litigation support, tax planning, gst",19.37,776,"tax planning, gst, transfer pricing, litigation support, income tax",5,Fresher
2019,Credit Analyst,"credit memo, industry research, covenants",6.51,1214,"covenants, credit memo, industry research, financial ratios",4,Fresher
2023,Tax Consultant,"income tax, transfer pricing, gst, tax planning",9.86,674,"tax planning, gst, litigation support",3,Senior
2018,Financial Controller,"consolidation, internal controls, erp finance, budgeting, management accounting",21.11,712,"budgeting, internal controls",2,Fresher
2022,Chartered Accountant,"financial statements, ind as, auditing, tax compliance, internal audit",7.44,719,"auditing, financial statements, tax compliance",3,Fresher
2017,Investment Banker,"valuation, m and a, due diligence",16.47,538,"valuation, due diligence, m and a",3,Fresher
2020,Financial Analyst,"dashboards, financial modeling, forecasting, excel, variance analysis",10.97,749,"forecasting, variance analysis, dashboards",3,Senior
2024,Tax Consultant,"gst, tax planning, litigation support",17.71,662,"gst, litigation support, income tax",3,Senior
2019,Financial Analyst,"financial modeling, variance analysis, dashboards, forecasting",16.26,785,"dashboards, financial modeling",2,Mid
2021,Financial Controller,"management accounting, consolidation, internal controls, budgeting",21.92,294,"internal controls, budgeting, management accounting, consolidation",4,Mid
2015,Financial Analyst,"variance analysis, forecasting, financial modeling, excel",5.53,809,"financial modeling, forecasting",2,Mid
2025,Risk Analyst,"risk reporting, basel norms, credit risk",18.38,667,"risk reporting, credit risk",2,Fresher
2022,Financial Analyst,"variance analysis, financial modeling, forecasting, dashboards",4.31,568,"financial modeling, forecasting, dashboards, variance analysis, excel",5,Senior
2021,Tax Consultant,"transfer pricing, litigation support, income tax, tax planning, gst",6.47,573,"gst, income tax, litigation support, transfer pricing",4,Mid
2021,Tax Consultant,"litigation support, tax planning, gst",10.74,515,"gst, litigation support, tax planning, income tax",4,Fresher
2021,Portfolio Manager,"equity research, asset allocation, fixed income",4.89,587,"fixed income, equity research",2,Senior
2019,Risk Analyst,"var, stress testing, basel norms, risk reporting, credit risk",12.74,344,"var, risk reporting, stress testing, credit risk",4,Fresher
2018,Financial Controller,"internal controls, consolidation, erp finance, management accounting, budgeting",19.7,768,"consolidation, internal controls, management accounting, budgeting, erp finance",5,Mid
2024,Credit Analyst,"financial ratios, covenants, cash flow analysis",20.55,942,"financial ratios, covenants",2,Senior
2016,Credit Analyst,"financial ratios, covenants, credit memo",8.54,924,"covenants, credit memo, financial ratios, cash flow analysis",4,Fresher
2021,Tax Consultant,"tax planning, gst, litigation support, income tax",7.11,862,"gst, litigation support, tax planning, income tax",4,Fresher
2018,Portfolio Manager,"performance attribution, asset allocation, bloomberg",6.5,814,"bloomberg, performance attribution, asset allocation, equity research",4,Senior
2025,Portfolio Manager,"performance attribution, fixed income, equity research, bloomberg, asset allocation",6.86,447,"performance attribution, asset allocation, equity research, bloomberg, fixed income",5,Fresher
2025,Risk Analyst,"credit risk, basel norms, risk reporting, stress testing",18.68,623,"basel norms, risk reporting, stress testing, credit risk",4,Fresher
2025,Risk Analyst,"basel norms, credit risk, var, stress testing, risk reporting",16.41,1232,"credit risk, risk reporting, basel norms, var",4,Fresher
2024,Investment Banker,"m and a, pitch books, due diligence, excel advanced, valuation",15.09,703,"m and a, excel advanced, valuation, due diligence",4,Senior
2021,Financial Controller,"budgeting, erp finance, internal controls",11.44,542,"budgeting, erp finance, internal controls",3,Mid
2019,Investment Banker,"valuation, excel advanced, m and a, due diligence",10.65,417,"valuation, m and a",2,Senior
2025,Tax Consultant,"litigation support, gst, transfer pricing",8.13,757,"transfer pricing, litigation support, gst",3,Fresher
2017,Financial Analyst,"excel, variance analysis, forecasting, financial modeling, dashboards",18.59,385,"excel, forecasting, dashboards, financial modeling",4,Mid
2015,Investment Banker,"due diligence, m and a, excel advanced, valuation",4.79,703,"excel advanced, due diligence",2,Mid
2024,Risk Analyst,"var, basel norms, credit risk",18.01,700,"basel norms, credit risk, var",3,Fresher
2018,Financial Controller,"internal controls, erp finance, consolidation, management accounting",3.58,653,"erp finance, internal controls, management accounting, consolidation",4,Mid
2018,Risk Analyst,"basel norms, risk reporting, var",17.66,655,"var, risk reporting, basel norms",3,Senior
2024,Credit Analyst,"financial ratios, covenants, industry research, cash flow analysis, credit memo",16.24,762,"credit memo, industry research, cash flow analysis, covenants",4,Mid
