Year,Job_Name,Required_Skills,Avg_Salary_LPA,Job_Postings,User_Learned_Skills,Skill_Count,Experience_Level
2015,Manufacturing Engineer,"cnc, process mapping, lean six sigma",14.64,838,"lean six sigma, cnc, process mapping",3,Senior
2020,HVAC Engineer,"hvac design, revit mep, load calculation, duct design, thermodynamics",5.22,726,"revit mep, duct design, thermodynamics, load calculation, hvac design",5,Fresher
2024,Manufacturing Engineer,"process mapping, production planning, lean six sigma, cnc",16.53,842,"process mapping, production planning, cnc, lean six sigma",4,Fresher
2018,Design Engineer,"solidworks, cad, drafting, gd and t",8.44,575,"drafting, cad, gd and t, solidworks",4,Senior
2015,Manufacturing Engineer,"process mapping, cnc, lean six sigma, kaizen, production planning",10.92,706,"lean six sigma, cnc, production planning",3,Mid
2023,Manufacturing Engineer,"cnc, kaizen, process mapping",8.36,750,"process mapping, kaizen, cnc, lean six sigma",4,Senior
2021,Project Engineer,"scheduling, budgeting, ms project, stakeholder management, risk register",8.15,209,"scheduling, risk register, stakeholder management, ms project, budgeting",5,Senior
2019,Design Engineer,"drafting, fea, solidworks",17.6,1151,"fea, solidworks, drafting",3,Senior
2016,Manufacturing Engineer,"process mapping, cnc, lean six sigma, kaizen, production planning",7.93,1070,"production planning, process mapping, lean six sigma, cnc",4,Mid
2024,HVAC Engineer,"thermodynamics, revit mep, duct design, load calculation, hvac design",21.34,522,"load calculation, revit mep",2,Mid
2023,HVAC Engineer,"revit mep, load calculation, hvac design, duct design, thermodynamics",16.6,717,"load calculation, thermodynamics, revit mep, duct design",4,Fresher
2018,Design Engineer,"solidworks, fea, drafting, gd and t",5.95,839,"fea, gd and t",2,Senior
2022,CAE Engineer,"structural analysis, simulation, ansys",21.71,743,"structural analysis, simulation, ansys",3,Senior
2019,Manufacturing Engineer,"production planning, lean six sigma, kaizen",8.12,649,"production planning, kaizen, lean six sigma, cnc",4,Mid
2018,Manufacturing Engineer,"lean six sigma, process mapping, kaizen, production planning",10.51,984,"process mapping, production planning",2,Fresher
2024,Project Engineer,"scheduling, stakeholder management, risk register, budgeting",13.53,375,"stakeholder management, scheduling, budgeting, risk register",4,Senior
2016,Robotics Automation Engineer,"safety pl, motion control, scada",15.99,744,"scada, safety pl, motion control",3,Fresher
2024,HVAC Engineer,"duct design, hvac design, load calculation, thermodynamics",9.35,639,"duct design, hvac design",2,Senior
2015,Maintenance Engineer,"reliability, cmms, vibration analysis",4.86,120,"reliability, cmms, vibration analysis, preventive maintenance",4,Fresher
2025,HVAC Engineer,"hvac design, load calculation, thermodynamics, revit mep, duct design",3.64,886,"thermodynamics, load calculation, revit mep, duct design",4,Senior
2020,Maintenance Engineer,"reliability, cmms, preventive maintenance, troubleshooting, vibration analysis",12.85,781,"preventive maintenance, vibration analysis",2,Mid
2025,Maintenance Engineer,"troubleshooting, cmms, preventive maintenance",6.49,971,"troubleshooting, cmms",2,Mid
2019,CAE Engineer,"meshing, ansys, structural analysis, cfd, simulation",20.13,393,"simulation, meshing, ansys, cfd, structural analysis",5,Fresher
2015,HVAC Engineer,"thermodynamics, load calculation, revit mep, hvac design, duct design",17.13,1049,"load calculation, duct design, thermodynamics",3,Fresher
2020,Robotics Automation Engineer,"scada, robotics, safety pl, plc",7.62,578,"plc, scada, robotics, safety pl",4,Fresher
2017,HVAC Engineer,"load calculation, thermodynamics, hvac design, duct design",21.31,1035,"duct design, hvac design, thermodynamics, load calculation, revit mep",5,Senior
