Year,Job_Name,Required_Skills,Avg_Salary_LPA,Job_Postings,User_Learned_Skills,Skill_Count,Experience_Level
2023,Telecom Network Engineer,"fiber optics, wireless protocols, lte",9.64,907,"fiber optics, lte, link budget",3,Mid
2024,RF Engineer,"network analyzer, rf chain, smith chart, antenna design",17.97,351,"network analyzer, rf chain, antenna design, smith chart",4,Fresher
2021,Analog Design Engineer,"layout, bandgap reference, adc design",3.65,724,"layout, adc design, bandgap reference",3,Fresher
2025,Embedded Systems Engineer,"microcontroller, rtos, arm cortex",11.11,515,"microcontroller, rtos, arm cortex, spi protocol",4,Senior
2015,PCB Design Engineer,"stackup design, signal integrity, high speed pcb, emi emc",18.74,449,"high speed pcb, stackup design, emi emc, signal integrity",4,Mid
2020,Analog Design Engineer,"spice simulation, op amp design, bandgap reference, adc design, layout",15.65,570,"bandgap reference, spice simulation, op amp design",3,Senior
2020,Embedded Systems Engineer,"spi protocol, firmware, rtos, arm cortex",9.24,954,"firmware, arm cortex",2,Mid
2023,RF Engineer,"rf chain, impedance matching, antenna design, smith chart",12.06,677,"impedance matching, smith chart, rf chain, antenna design",4,Mid
2016,Hardware Test Engineer,"boundary scan, yield analysis, test patterns, dft",5.66,896,"dft, yield analysis, boundary scan, ate testing",4,Senior
2023,Telecom Network Engineer,"wireless protocols, fiber optics, lte",4.43,608,"fiber optics, wireless protocols, lte, ran planning",4,Mid
2015,RF Engineer,"network analyzer, antenna design, rf chain, impedance matching, smith chart",17.16,821,"antenna design, impedance matching, rf chain, smith chart, network analyzer",5,Senior
2017,VLSI Design Engineer,"rtl design, verilog, vhdl, synthesis, timing closure",8.17,662,"timing closure, synthesis",2,Mid
2019,Analog Design Engineer,"adc design, layout, bandgap reference, op amp design",12.64,892,"adc design, op amp design",2,Senior
2025,VLSI Design Engineer,"timing closure, verilog, synthesis",10.18,855,"verilog, synthesis, timing closure",3,Senior
2020,Embedded Systems Engineer,"microcontroller, arm cortex, rtos, firmware, spi protocol",14.64,735,"spi protocol, microcontroller, arm cortex, rtos, firmware",5,Senior
2022,Telecom Network Engineer,"wireless protocols, lte, link budget, ran planning",21.15,584,"wireless protocols, lte, ran planning",3,Fresher
2022,Analog Design Engineer,"adc design, op amp design, spice simulation",6.83,215,"op amp design, spice simulation, adc design, layout",4,Senior
2020,Telecom Network Engineer,"link budget, lte, wireless protocols, fiber optics",17.4,898,"link budget, wireless protocols, fiber optics, lte",4,Mid
2021,Hardware Test Engineer,"yield analysis, ate testing, boundary scan, dft, test patterns",8.4,960,"dft, test patterns",2,Fresher
2024,RF Engineer,"network analyzer, smith chart, rf chain, antenna design, impedance matching",3.73,637,"rf chain, network analyzer, antenna design, impedance matching",4,Mid
2020,Analog Design Engineer,"layout, adc design, bandgap reference, spice simulation",10.08,562,"bandgap reference, layout, op amp design",3,Senior
2023,Analog Design Engineer,"op amp design, spice simulation, adc design",16.99,331,"spice simulation, op amp design",2,Senior
2020,Hardware Test Engineer,"ate testing, dft, boundary scan",11.36,1048,"boundary scan, ate testing, dft",3,Mid
2019,Telecom Network Engineer,"ran planning, lte, fiber optics, link budget, wireless protocols",16.47,629,"fiber optics, link budget, wireless protocols",3,Senior
2018,VLSI Design Engineer,"timing closure, vhdl, synthesis, verilog",4.64,1074,"vhdl, verilog, synthesis, timing closure",4,Senior
2020,PCB Design Engineer,"signal integrity, stackup design, emi emc",13.47,868,"signal integrity, emi emc, stackup design, high speed pcb",4,Fresher
2017,Embedded Systems Engineer,"rtos, spi protocol, microcontroller",13.34,603,"rtos, spi protocol, microcontroller, firmware",4,Fresher
2023,Telecom Network Engineer,"lte, ran planning, fiber optics",17.36,571,"fiber optics, lte, ran planning",3,Senior
2019,RF Engineer,"smith chart, rf chain, antenna design, network analyzer, impedance matching",11.46,448,"rf chain, network analyzer, antenna design, impedance matching",4,Mid
2025,PCB Design Engineer,"altium designer, high speed pcb, stackup design",19.69,836,"high speed pcb, stackup design, altium designer, emi emc",4,Fresher
2024,Hardware Test Engineer,"dft, ate testing, test patterns, yield analysis",14.46,929,"dft, test patterns",2,Mid
2024,DSP Engineer,"fft, fixed point arithmetic, matlab, communications algorithms",6.79,433,"fft, matlab",2,Fresher
2020,Embedded Systems Engineer,"firmware, spi protocol, rtos",19.69,646,"firmware, spi protocol",2,Senior
2016,VLSI Design Engineer,"rtl design, timing closure, verilog, vhdl",19.26,875,"verilog, rtl design, vhdl, timing closure",4,Senior
2016,DSP Engineer,"matlab, fft, communications algorithms, digital filters",19.23,308,"digital filters, matlab, communications algorithms, fft",4,Fresher
2024,PCB Design Engineer,"altium designer, stackup design, signal integrity, emi emc, high speed pcb",15.76,550,"signal integrity, emi emc",2,Senior
2024,VLSI Design Engineer,"rtl design, timing closure, verilog, synthesis, vhdl",4.04,710,"timing closure, verilog",2,Fresher
2023,RF Engineer,"rf chain, antenna design, smith chart",16.01,120,"rf chain, antenna design, network analyzer",3,Fresher
2017,PCB Design Engineer,"altium designer, high speed pcb, stackup design",15.48,696,"stackup design, altium designer, high speed pcb, signal integrity",4,Fresher
2025,DSP Engineer,"matlab, digital filters, communications algorithms, fft",16.39,594,"fft, matlab, communications algorithms, digital filters, fixed point arithmetic",5,Senior
2024,Embedded Systems Engineer,"firmware, rtos, arm cortex, spi protocol, microcontroller",13.24,1084,"arm cortex, firmware, microcontroller, rtos",4,Fresher
2024,RF Engineer,"antenna design, impedance matching, rf chain",20.71,833,"rf chain, antenna design, impedance matching, smith chart",4,Mid
2021,Analog Design Engineer,"op amp design, layout, bandgap reference",18.03,861,"op amp design, layout, bandgap reference",3,Senior
2021,Hardware Test Engineer,"boundary scan, test patterns, dft",20.58,580,"boundary scan, test patterns, dft",3,Senior
2017,DSP Engineer,"matlab, fft, communications algorithms, fixed point arithmetic, digital filters",18.87,1056,"fft, matlab, fixed point arithmetic, communications algorithms",4,Fresher
2021,Telecom Network Engineer,"wireless protocols, lte, ran planning, link budget",10.65,814,"lte, link budget, wireless protocols, ran planning",4,Fresher
2025,VLSI Design Engineer,"rtl design, timing closure, verilog, vhdl, synthesis",20.83,779,"verilog, synthesis",2,Mid
2015,Telecom Network Engineer,"lte, ran planning, fiber optics",13.83,719,"ran planning, fiber optics, lte",3,Fresher
2021,PCB Design Engineer,"emi emc, high speed pcb, stackup design",20.2,988,"stackup design, emi emc, high speed pcb, signal integrity",4,Senior
2023,Analog Design Engineer,"op amp design, bandgap reference, spice simulation",15.89,545,"spice simulation, op amp design, bandgap reference",3,Senior
2025,Hardware Test Engineer,"yield analysis, boundary scan, ate testing",4.31,1138,"ate testing, yield analysis, boundary scan, dft",4,Mid
2023,DSP Engineer,"fft, communications algorithms, digital filters, matlab, fixed point arithmetic",14.9,865,"fixed point arithmetic, fft, matlab, communications algorithms",4,Senior
2024,RF Engineer,"network analyzer, rf chain, smith chart",7.13,622,"rf chain, smith chart, network analyzer",3,Senior
2021,PCB Design Engineer,"signal integrity, stackup design, high speed pcb, altium designer",13.81,651,"altium designer, high speed pcb, signal integrity, stackup design",4,Fresher
2021,Telecom Network Engineer,"ran planning, link budget, lte, fiber optics",6.73,691,"ran planning, lte, fiber optics, link budget",4,Mid
2016,RF Engineer,"antenna design, smith chart, impedance matching, rf chain, network analyzer",15.29,481,"impedance matching, antenna design",2,Mid
2017,DSP Engineer,"fft, digital filters, matlab",14.47,823,"fft, matlab, digital filters, fixed point arithmetic",4,Senior
2017,PCB Design Engineer,"stackup design, altium designer, emi emc, high speed pcb",16.5,953,"emi emc, high speed pcb, stackup design",3,Senior
2020,Hardware Test Engineer,"test patterns, boundary scan, dft, ate testing",15.16,552,"boundary scan, test patterns, dft, yield analysis",4,Mid
2016,Analog Design Engineer,"layout, bandgap reference, adc design",7.35,446,"layout, bandgap reference",2,Senior
2015,RF Engineer,"smith chart, antenna design, impedance matching, network analyzer, rf chain",8.57,632,"impedance matching, network analyzer, rf chain",3,Fresher
2024,Analog Design Engineer,"spice simulation, layout, bandgap reference, op amp design, adc design",21.87,979,"spice simulation, layout, adc design",3,Fresher
2016,PCB Design Engineer,"high speed pcb, altium designer, signal integrity, emi emc",4.15,798,"signal integrity, high speed pcb, altium designer",3,Mid
2023,Hardware Test Engineer,"test patterns, ate testing, yield analysis, boundary scan",20.3,529,"yield analysis, boundary scan, test patterns, ate testing, dft",5,Fresher
2015,VLSI Design Engineer,"timing closure, vhdl, synthesis, verilog, rtl design",17.74,967,"synthesis, rtl design, vhdl, timing closure",4,Fresher
2017,VLSI Design Engineer,"vhdl, synthesis, rtl design, verilog, timing closure",14.82,505,"synthesis, vhdl, timing closure",3,Fresher
2020,VLSI Design Engineer,"rtl design, synthesis, verilog",13.1,634,"verilog, rtl design, synthesis",3,Fresher
2022,Telecom Network Engineer,"lte, wireless protocols, link budget, ran planning, fiber optics",6.33,667,"ran planning, lte",2,Fresher
2019,Telecom Network Engineer,"link budget, ran planning, wireless protocols, lte, fiber optics",5.73,583,"ran planning, link budget, wireless protocols, lte, fiber optics",5,Mid
2025,Telecom Network Engineer,"link budget, fiber optics, ran planning",15.84,718,"link budget, ran planning",2,Mid
2021,Telecom Network Engineer,"lte, ran planning, link budget, wireless protocols",13.72,670,"ran planning, lte, link budget",3,Fresher
2025,DSP Engineer,"fft, communications algorithms, matlab",16.36,647,"matlab, fft",2,Senior
2021,Telecom Network Engineer,"link budget, lte, wireless protocols",19.62,682,"wireless protocols, lte, ran planning",3,Senior
2023,DSP Engineer,"fft, matlab, fixed point arithmetic, digital filters, communications algorithms",20.81,630,"fft, fixed point arithmetic",2,Senior
2020,RF Engineer,"antenna design, impedance matching, smith chart",12.43,1156,"impedance matching, smith chart",2,Mid
2020,DSP Engineer,"matlab, communications algorithms, fft, fixed point arithmetic",18.06,1045,"fixed point arithmetic, matlab, fft, communications algorithms",4,Mid
2015,Telecom Network Engineer,"lte, ran planning, fiber optics, wireless protocols",19.5,451,"wireless protocols, fiber optics, ran planning, lte, link budget",5,Senior
2022,VLSI Design Engineer,"vhdl, synthesis, rtl design, timing closure, verilog",20.09,577,"vhdl, timing closure, synthesis, rtl design, verilog",5,Senior
2023,DSP Engineer,"matlab, communications algorithms, digital filters, fft",6.82,679,"communications algorithms, matlab, digital filters",3,Mid
2022,Analog Design Engineer,"bandgap reference, spice simulation, adc design, op amp design, layout",13.16,268,"bandgap reference, spice simulation, layout",3,Senior
2022,VLSI Design Engineer,"rtl design, synthesis, verilog, vhdl, timing closure",9.54,1148,"timing closure, verilog, rtl design",3,Fresher
2016,RF Engineer,"rf chain, network analyzer, smith chart, antenna design",20.25,625,"rf chain, smith chart, impedance matching",3,Senior
2022,Analog Design Engineer,"spice simulation, layout, op amp design, bandgap reference, adc design",20.53,927,"layout, spice simulation",2,Senior
2023,Hardware Test Engineer,"yield analysis, boundary scan, ate testing, test patterns",15.06,515,"ate testing, yield analysis, test patterns, boundary scan, dft",5,Senior
2021,Analog Design Engineer,"adc design, op amp design, layout",18.74,743,"layout, adc design",2,Senior
2023,RF Engineer,"smith chart, rf chain, antenna design, network analyzer, impedance matching",8.09,558,"impedance matching, smith chart, antenna design, rf chain, network analyzer",5,Fresher
2023,Embedded Systems Engineer,"arm cortex, spi protocol, firmware, microcontroller",13.84,797,"microcontroller, arm cortex, firmware, spi protocol",4,Fresher
2017,Analog Design Engineer,"bandgap reference, adc design, spice simulation",13.35,450,"bandgap reference, spice simulation, adc design, layout",4,Senior
2017,PCB Design Engineer,"high speed pcb, emi emc, altium designer",12.98,452,"high speed pcb, altium designer, stackup design",3,Senior
2018,Analog Design Engineer,"layout, adc design, spice simulation, op amp design, bandgap reference",14.06,817,"op amp design, adc design, layout",3,Senior
2018,RF Engineer,"antenna design, network analyzer, impedance matching, rf chain",7.14,452,"impedance matching, antenna design, network analyzer, rf chain",4,Senior
2015,Analog Design Engineer,"spice simulation, op amp design, bandgap reference, adc design, layout",7.48,279,"op amp design, spice simulation",2,Senior
2018,Analog Design Engineer,"spice simulation, bandgap reference, adc design",12.38,497,"spice simulation, bandgap reference, adc design, op amp design",4,Senior
2024,DSP Engineer,"digital filters, fft, matlab",13.21,938,"digital filters, fft, matlab",3,Mid
2025,Analog Design Engineer,"op amp design, layout, spice simulation, adc design",13.6,824,"adc design, op amp design",2,Senior
2024,Telecom Network Engineer,"ran planning, fiber optics, lte, wireless protocols, link budget",10.05,876,"wireless protocols, fiber optics, link budget, lte",4,Fresher
2023,Hardware Test Engineer,"yield analysis, ate testing, boundary scan, dft",14.63,772,"ate testing, yield analysis, dft",3,Fresher
2015,RF Engineer,"impedance matching, antenna design, smith chart",10.54,1086,"impedance matching, antenna design, network analyzer",3,Senior
2024,Analog Design Engineer,"op amp design, spice simulation, layout, bandgap reference, adc design",8.4,630,"layout, spice simulation, adc design, op amp design",4,Senior
2018,VLSI Design Engineer,"verilog, timing closure, vhdl, rtl design, synthesis",3.53,619,"timing closure, synthesis, verilog, vhdl",4,Senior
2024,Embedded Systems Engineer,"firmware, microcontroller, spi protocol",17.18,935,"microcontroller, firmware, spi protocol, rtos",4,Fresher
2015,Analog Design Engineer,"layout, bandgap reference, op amp design, spice simulation, adc design",19.51,731,"layout, adc design, op amp design, spice simulation, bandgap reference",5,Fresher
2020,Hardware Test Engineer,"test patterns, yield analysis, ate testing, boundary scan, dft",13.54,963,"ate testing, boundary scan, test patterns, dft",4,Senior
2019,DSP Engineer,"fixed point arithmetic, digital filters, fft",14.04,615,"fft, digital filters",2,Mid
